Category,Started,Start odometer (km),Start address,Stopped,End odometer (km),End address,Duration,Distance (km),Fuel consumption (litres),Title,Battery consumption (kWh),Battery regeneration (kWh),User Notes
Unassigned,2022-12-25 16:50,27860,Home,2022-12-25 16:52,27860,Home,00:02 h,0.5,0.0,,0.2,0.0,
Unassigned,2022-12-25 16:40,27859,"Tramstrasse 28, Zürich",2022-12-25 16:44,27860,"Home",00:03 h,0.5,0.0,,0.0,0.0,
Unassigned,2022-12-25 12:41,27858,Home,2022-12-25 12:46,27859,"Tramstrasse 28, Zürich",00:04 h,1.1,0.3,,0.1,0.3,
Unassigned,2022-12-24 16:37,27624,"Via del Breggia 19, Vacallo",2022-12-24 19:28,27858,Home,02:50 h,233.6,15.4,,6.0,5.6,
Unassigned,2022-12-24 14:57,27523,"Via Milano 9, Antegnate",2022-12-24 16:33,27624,"Via del Breggia 19, Vacallo",01:36 h,101.2,7.4,,5.1,5.3,
Unassigned,2022-12-24 13:03,27437,"Strada Statale Goitese 437, Goito",2022-12-24 14:17,27523,"Via Milano 9, Antegnate",01:13 h,86.6,6.1,,3.6,3.0,
Unassigned,2022-12-24 12:39,27421,"Piazza Virgilio 3, Porto Mantovano",2022-12-24 13:01,27437,"Strada Statale Goitese 437, Goito",00:21 h,15.4,1.3,,1.1,1.5,
Unassigned,2022-12-24 11:34,27407,"Strada Statale Alto Polesana 28, Mantova",2022-12-24 11:48,27421,"Piazza Virgilio 3, Porto Mantovano",00:14 h,13.8,0.7,,1.3,0.6,
Unassigned,2022-12-24 09:59,27325,"Via delle Vigne 32, Ferrara",2022-12-24 11:26,27407,"Strada Statale Alto Polesana 28, Mantova",01:26 h,82.5,4.1,,7.5,4.2,
Unassigned,2022-12-23 21:25,27276,"Via Aristotele Fioravanti 25, Bologna",2022-12-23 22:20,27325,"Via delle Vigne 32, Ferrara",00:55 h,49.3,2.0,,4.3,1.0,
Unassigned,2022-12-23 17:32,27275,"Via Piero Gobetti 25, Bologna",2022-12-23 17:43,27276,"Via Aristotele Fioravanti 27/2, Bologna",00:10 h,0.6,0.0,,0.0,0.0,
Unassigned,2022-12-23 12:55,27248,"Via 1 Maggio 1, Castel Guelfo di Bologna",2022-12-23 13:42,27275,"Via Piero Gobetti 25, Bologna",00:47 h,27.1,0.0,,5.3,0.7,
Unassigned,2022-12-23 10:22,27175,"Via delle Vigne 32, Ferrara",2022-12-23 11:17,27248,"Via 1 Maggio 1, Castel Guelfo di Bologna",00:55 h,72.6,5.7,,3.4,2.1,
Unassigned,2022-12-22 20:37,27174,"Largo Castello 20A, Ferrara",2022-12-22 20:45,27175,"Via delle Vigne 32, Ferrara",00:07 h,1.8,0.0,,0.4,0.1,
Unassigned,2022-12-22 19:28,27171,"Via delle Vigne 32, Ferrara",2022-12-22 19:40,27174,"Largo Castello 20A, Ferrara",00:12 h,2.2,0.4,,0.3,0.5,
Unassigned,2022-12-22 16:39,26991,"Via Ventotto Luglio 20, Borgo Maggiore",2022-12-22 19:02,27171,"Via delle Vigne 32, Ferrara",02:22 h,180.1,13.0,,5.5,5.2,
Unassigned,2022-12-22 16:35,26991,"Via Ca' Franceschino 25, Borgo Maggiore",2022-12-22 16:37,26991,"Via Ventotto Luglio 22, Borgo Maggiore",00:01 h,0.4,0.1,,0.1,0.0,
Unassigned,2022-12-22 16:29,26989,"Piazzale Genga 73, San Marino",2022-12-22 16:34,26991,"Via Ca' Franceschino 25, Borgo Maggiore",00:05 h,1.7,0.0,,0.1,0.4,
Unassigned,2022-12-22 14:34,26987,"Via Napoleone Bonaparte 47, San Marino",2022-12-22 14:41,26989,"Vicolo del Macello 7, San Marino",00:07 h,2.0,0.3,,0.3,0.3,
Unassigned,2022-12-22 14:11,26979,"Strada delle Moricce 29, Acquaviva",2022-12-22 14:29,26987,"Via Napoleone Bonaparte 47, San Marino",00:18 h,7.9,1.3,,0.8,0.7,
Unassigned,2022-12-22 14:00,26979,"Strada delle Moricce 29, Acquaviva",2022-12-22 14:02,26979,"Strada delle Moricce 29, Acquaviva",00:01 h,0.1,0.0,,0.0,0.0,
Unassigned,2022-12-22 13:24,26953,"Strada Provinciale Marecchia 15, Pennabilli",2022-12-22 13:57,26979,"Strada delle Moricce 29, Acquaviva",00:32 h,26.1,1.5,,2.1,2.1,
Unassigned,2022-12-22 10:29,26811,"Strada di Certosa 57, Siena",2022-12-22 13:20,26953,"Strada Provinciale Marecchia 15, Pennabilli",02:51 h,142.3,7.7,,14.8,8.8,
Unassigned,2022-12-21 23:12,26811,"Strada di Certosa 88, Siena",2022-12-21 23:15,26811,"Strada di Certosa 57, Siena",00:02 h,0.1,0.0,,0.0,0.0,
Unassigned,2022-12-21 16:45,26767,"Via delle Carbonaie 27, San Quirico d'Orcia",2022-12-21 17:37,26811,"Strada di Certosa 59, Siena",00:51 h,44.0,1.5,,5.2,2.4,
Unassigned,2022-12-21 15:08,26729,"Strada Cassia Sud 229, Siena",2022-12-21 15:53,26767,"Via delle Carbonaie 27, San Quirico d'Orcia",00:45 h,37.8,1.9,,4.0,1.6,
Unassigned,2022-12-21 15:00,26725,"Strada Cassia Sud 128, Siena",2022-12-21 15:06,26729,"Strada Cassia Sud 229, Siena",00:05 h,3.8,0.0,,0.5,0.1,
Unassigned,2022-12-21 13:46,26721,"Via di Fontanella 6, Siena",2022-12-21 14:07,26725,"Strada Cassia Sud 128, Siena",00:20 h,4.4,0.0,,0.8,0.3,
Unassigned,2022-12-21 11:19,26712,"Piaggia del Giuggiolo 1, Siena",2022-12-21 11:43,26721,"Via di Fontanella 6, Siena",00:23 h,9.0,0.0,,2.5,0.7,
Unassigned,2022-12-21 10:48,26703,"Strada di Certosa 59, Siena",2022-12-21 11:12,26712,"Piaggia del Giuggiolo 1, Siena",00:24 h,8.8,0.0,,2.5,0.1,
Unassigned,2022-12-21 00:19,26703,"Strada di Certosa 88, Siena",2022-12-21 00:22,26703,"Strada di Certosa 59, Siena",00:03 h,0.1,0.1,,0.0,0.0,
Unassigned,2022-12-20 16:55,26657,"Via Vecchia 1, San Gimignano",2022-12-20 17:50,26703,"Strada di Certosa 88, Siena",00:55 h,45.4,2.6,,3.6,2.7,
Unassigned,2022-12-20 15:31,26619,"Via Chiantigiana 66, Greve in Chianti",2022-12-20 16:14,26657,"Via Vecchia 1, San Gimignano",00:43 h,38.4,0.4,,6.7,1.9,
Unassigned,2022-12-20 15:18,26612,"Piazza della Resistenza 3, Greve in Chianti",2022-12-20 15:28,26619,"Via Chiantigiana 66, Greve in Chianti",00:10 h,7.1,0.6,,1.7,0.3,
Unassigned,2022-12-20 12:41,26593,"Via Chiantigiana 30, Castellina in Chianti",2022-12-20 13:09,26612,"Piazza della Resistenza 3, Greve in Chianti",00:27 h,19.3,0.3,,2.5,2.0,
Unassigned,2022-12-20 12:30,26588,"Strada Regionale Chiantigiana 1, Castellina in Chianti",2022-12-20 12:38,26593,"Via Chiantigiana 30, Castellina in Chianti",00:08 h,5.1,0.0,,1.2,0.1,
Unassigned,2022-12-20 12:20,26583,"Strada Regionale Chiantigiana , Monteriggioni",2022-12-20 12:27,26588,"Strada Regionale Chiantigiana 1, Castellina in Chianti",00:07 h,4.6,0.0,,2.1,0.1,
Unassigned,2022-12-20 11:44,26566,"Strada di Certosa 86, Siena",2022-12-20 12:17,26583,"Strada Regionale Chiantigiana , Monteriggioni",00:32 h,16.6,0.0,,4.2,0.6,
Unassigned,2022-12-20 08:28,26566,"Strada di Certosa 59, Siena",2022-12-20 08:30,26566,"Strada di Certosa 86, Siena",00:02 h,0.1,0.0,,0.0,0.0,
Unassigned,2022-12-19 18:33,26566,"Strada di Certosa 59, Siena",2022-12-19 18:36,26566,"Strada di Certosa 88, Siena",00:03 h,0.1,0.0,,0.0,0.0,
Unassigned,2022-12-19 15:35,26439,"Strada Statale Aurelia 4, Pisa",2022-12-19 18:03,26566,"Strada di Certosa 59, Siena",02:27 h,126.7,9.3,,10.6,10.6,
Unassigned,2022-12-19 14:19,26389,"Viale John Fitzgerald Kennedy 54, Sarzana",2022-12-19 15:29,26439,"Strada Statale Aurelia 4, Pisa",01:10 h,50.5,3.5,,4.6,4.6,
Unassigned,2022-12-19 10:08,26256,"Via Monte Corno 8, Parma",2022-12-19 13:26,26389,"Viale John Fitzgerald Kennedy 54, Sarzana",03:17 h,132.6,5.7,,17.2,9.9,
Unassigned,2022-12-18 16:52,26245,"Via Nazionale 17, Collecchio",2022-12-18 17:14,26256,"Via Monte Corno 6, Parma",00:21 h,11.2,0.0,,2.0,0.4,
Unassigned,2022-12-18 16:36,26233,"Strada Cisa 107, Fornovo di Taro",2022-12-18 16:51,26245,"Via Nazionale 17, Collecchio",00:14 h,12.3,0.0,,2.2,0.3,
Unassigned,2022-12-18 15:30,26210,"Via Monte Corno 6B, Parma",2022-12-18 16:04,26233,"Strada Cisa 107, Fornovo di Taro",00:33 h,23.1,0.0,,5.2,0.4,
Unassigned,2022-12-17 18:29,26208,"Via Renata Tebaldi 16A, Parma",2022-12-17 18:39,26210,"Via Monte Corno 3, Parma",00:09 h,2.1,0.0,,0.4,0.0,
Unassigned,2022-12-17 16:11,26028,"Via del Breggia 19, Vacallo",2022-12-17 18:12,26208,"Via Renata Tebaldi 16A, Parma",02:01 h,180.6,12.6,,5.5,3.7,
Unassigned,2022-12-17 15:56,26024,"Via Stefano Franscini 14a, Balerna",2022-12-17 16:04,26028,"Via del Breggia 19, Vacallo",00:08 h,3.8,0.0,,0.7,0.2,
Unassigned,2022-12-17 15:34,26015,"Via Angelo Maspoli 19, Mendrisio",2022-12-17 15:50,26024,"Via Stefano Franscini 14a, Balerna",00:15 h,9.0,0.4,,1.4,0.4,
Unassigned,2022-12-17 11:36,25784,Home,2022-12-17 14:17,26015,"Via Angelo Maspoli 19, Mendrisio",02:40 h,231.5,14.1,,11.1,4.3,
Unassigned,2022-12-11 14:52,25778,"Klosterweg 32a, Zürich",2022-12-11 15:11,25784,Home,00:18 h,6.4,0.0,,1.1,0.3,